사용일자,호선명,역명,승차총승객수,하차총승객수,등록일자
20231107,장항선,아산,4381,3854,20231110
20231107,중앙선,아신,638,667,20231110
20231107,5호선,아차산(어린이대공원후문),15965,15430,20231110
20231107,2호선,아현,12318,11645,20231110
20231107,3호선,안국,29570,30669,20231110
20231107,안산선,안산,12911,11636,20231110
20231107,6호선,안암(고대병원앞),16372,16642,20231110
20231107,경부선,안양,27775,27767,20231110
20231107,8호선,암사,20671,18312,20231110
20231107,3호선,압구정,34758,37358,20231110
20231107,분당선,압구정로데오,20235,21891,20231110
20231107,5호선,애오개,7625,7637,20231110
20231107,경의선,야당,9089,9088,20231110
20231107,수인선,야목,435,448,20231110
20231107,분당선,야탑,27689,29450,20231110
20231107,3호선,약수,14275,13975,20231110
20231107,6호선,약수,4181,4064,20231110
20231107,중앙선,양수,1891,1947,20231110
20231107,중앙선,양원,3515,3485,20231110
20231107,3호선,양재(서초구청),42174,45793,20231110
20231107,중앙선,양정,698,575,20231110
20231107,경원선,양주,8232,7880,20231110
20231107,2호선,양천구청,7779,8323,20231110
20231107,9호선,양천향교,11374,11723,20231110
20231107,5호선,양평,8694,8432,20231110
20231107,중앙선,양평,3076,3162,20231110
20231107,7호선,어린이대공원(세종대),19716,20344,20231110
20231107,수인선,어천,1257,1189,20231110
20231107,9호선2~3단계,언주,13144,13302,20231110
20231107,5호선,여의나루,12243,13908,20231110
20231107,9호선,여의도,33539,32116,20231110
20231107,5호선,여의도,33034,34695,20231110
20231107,경강선,여주,2913,2983,20231110
20231107,경인선,역곡,30997,30925,20231110
20231107,2호선,역삼,61598,69435,20231110
20231107,6호선,역촌,4216,5179,20231110
20231107,수인선,연수,4972,4935,20231110
20231107,3호선,연신내,37652,35734,20231110
20231107,6호선,연신내,1,0,20231110
20231107,9호선,염창,20032,19526,20231110
20231107,경부선,영등포,40303,41509,20231110
20231107,2호선,영등포구청,24282,24724,20231110
20231107,5호선,영등포구청,5263,5295,20231110
20231107,5호선,영등포시장,11878,12164,20231110
20231107,공항철도 1호선,영종,4089,4189,20231110
20231107,분당선,영통,9734,9947,20231110
20231107,3호선,오금,7497,6668,20231110
20231107,5호선,오금,4265,4249,20231110
20231107,경인선,오류동,12639,11806,20231110
20231107,분당선,오리,12957,10871,20231110
20231107,5호선,오목교(목동운동장앞),23051,24666,20231110
20231107,수인선,오목천,5611,4876,20231110
20231107,중앙선,오빈,307,323,20231110
20231107,경부선,오산,11131,11193,20231110
20231107,경부선,오산대,4597,4195,20231110
20231107,안산선,오이도,8891,8666,20231110
20231107,경원선,옥수,52,31,20231110
20231107,3호선,옥수,9733,9908,20231110
20231107,경인선,온수(성공회대입구),7376,6788,20231110
20231107,7호선,온수(성공회대입구),12282,11404,20231110
20231107,장항선,온양온천,4655,4718,20231110
20231107,5호선,올림픽공원(한국체대),5636,4808,20231110
20231107,9호선2~3단계,올림픽공원(한국체대),7555,8165,20231110
20231107,2호선,왕십리(성동구청),16923,14548,20231110
20231107,경원선,왕십리(성동구청),17516,17538,20231110
20231107,5호선,왕십리(성동구청),4858,5477,20231110
20231107,경원선,외대앞,11652,11558,20231110
20231107,2호선,용답,3320,3395,20231110
20231107,2호선,용두(동대문구청),2751,2761,20231110
20231107,7호선,용마산(용마폭포공원),6424,6278,20231110
20231107,중앙선,용문,2138,2104,20231110
20231107,경부선,용산,38500,39468,20231110
20231107,5호선,우장산,16405,16360,20231110
20231107,중앙선,운길산,696,634,20231110
20231107,공항철도 1호선,운서,9139,9526,20231110
20231107,경의선,운정,8278,7765,20231110
20231107,경의선,운천,7,4,20231110
20231107,일산선,원당,12472,11925,20231110
20231107,중앙선,원덕,349,346,20231110
20231107,수인선,원인재,4808,4943,20231110
20231107,서해선,원종,4687,4820,20231110
20231107,일산선,원흥,12710,12134,20231110
20231107,경원선,월계,8901,8278,20231110
20231107,6호선,월곡(동덕여대),14598,14243,20231110
20231107,수인선,월곶,2992,2751,20231110
20231107,6호선,월드컵경기장(성산),5164,5365,20231110
20231107,경의선,월롱,2665,2408,20231110
20231107,3호선,을지로3가,13163,13457,20231110
20231107,2호선,을지로3가,27921,27414,20231110
20231107,2호선,을지로4가,15903,15982,20231110
20231107,5호선,을지로4가,7339,7573,20231110
20231107,2호선,을지로입구,54756,56322,20231110
20231107,경원선,응봉,2147,1898,20231110
20231107,6호선,응암,19398,19197,20231110
20231107,경부선,의왕,10439,10383,20231110
20231107,경원선,의정부,18905,19574,20231110
20231107,2호선,이대,20015,22174,20231110
20231107,경강선,이매,1393,1268,20231110
20231107,분당선,이매,6483,6076,20231110
20231107,7호선,이수,17341,17024,20231110
20231107,경강선,이천,2772,2929,20231110
20231107,경원선,이촌(국립중앙박물관),4426,3481,20231110
20231107,4호선,이촌(국립중앙박물관),8609,9638,20231110
20231107,6호선,이태원,11205,11469,20231110
20231107,과천선,인덕원,27730,28614,20231110
20231107,경인선,인천,3590,2756,20231110
20231107,수인선,인천,1031,1557,20231110
20231107,공항철도 1호선,인천공항1터미널,12197,11732,20231110
20231107,공항철도 1호선,인천공항2터미널,6483,5609,20231110
20231107,수인선,인천논현,5947,6364,20231110
20231107,수인선,인하대,8314,7881,20231110
20231107,경의선,일산,12035,11810,20231110
20231107,3호선,일원,13658,13118,20231110
20231107,경의선,임진강,14,8,20231110
20231107,8호선,잠실(송파구청),16231,19263,20231110
20231107,2호선,잠실(송파구청),80630,81232,20231110
20231107,2호선,잠실나루,18138,17812,20231110
20231107,2호선,잠실새내,25656,25462,20231110
20231107,3호선,잠원,5722,5532,20231110
20231107,7호선,장승배기,10488,10260,20231110
20231107,7호선,장암,2997,1183,20231110
20231107,8호선,장지,19166,17509,20231110
20231107,5호선,장한평,21158,20956,20231110
20231107,우이신설선,정릉,5462,5204,20231110
20231107,일산선,정발산,7934,7804,20231110
20231107,과천선,정부과천청사,13029,13599,20231110
