사용일자,노선명,역명,승차총승객수,하차총승객수,등록일자
20230907,수인선,달월,104,64,20230910
20230907,5호선,답십리,17862,16227,20230910
20230907,4호선,당고개,10653,9180,20230910
20230907,신림선,당곡,5026,4899,20230910
20230907,2호선,당산,20642,24611,20230910
20230907,9호선,당산,22056,22052,20230910
20230907,경부선,당정,7350,7073,20230910
20230907,일산선,대곡,3288,2454,20230910
20230907,과천선,대공원,2939,3141,20230910
20230907,7호선,대림(구로구청),8573,8578,20230910
20230907,2호선,대림(구로구청),25635,26260,20230910
20230907,분당선,대모산입구,6885,6392,20230910
20230907,경부선,대방,12197,13579,20230910
20230907,신림선,대방,3159,2235,20230910
20230907,경춘선,대성리,534,632,20230910
20230907,안산선,대야미,5562,5005,20230910
20230907,3호선,대청,11985,11154,20230910
20230907,3호선,대치,13577,13646,20230910
20230907,일산선,대화,15543,12112,20230910
20230907,6호선,대흥(서강대앞),11333,11870,20230910
20230907,경원선,덕계,5352,4748,20230910
20230907,중앙선,덕소,6268,5970,20230910
20230907,경원선,덕정,7270,6967,20230910
20230907,3호선,도곡,5832,5998,20230910
20230907,분당선,도곡,8856,8535,20230910
20230907,중앙선,도농,13225,11930,20230910
20230907,2호선,도림천,1456,1479,20230910
20230907,경원선,도봉,6679,6481,20230910
20230907,7호선,도봉산,10678,12188,20230910
20230907,경원선,도봉산,8092,5247,20230910
20230907,중앙선,도심,2753,2194,20230910
20230907,경인선,도원,3693,3842,20230910
20230907,경인선,도화,4636,4243,20230910
20230907,3호선,독립문,7926,8201,20230910
20230907,6호선,독바위,3122,3174,20230910
20230907,경부선,독산,20299,20953,20230910
20230907,6호선,돌곶이,11618,10451,20230910
20230907,4호선,동대문,22670,23277,20230910
20230907,1호선,동대문,11907,11537,20230910
20230907,4호선,동대문역사문화공원(DDP),22286,19486,20230910
20230907,5호선,동대문역사문화공원(DDP),3516,4132,20230910
20230907,2호선,동대문역사문화공원(DDP),17921,20361,20230910
20230907,3호선,동대입구,14367,16374,20230910
20230907,경원선,동두천,2962,3038,20230910
20230907,경원선,동두천중앙,3237,3139,20230910
20230907,6호선,동묘앞,8694,9105,20230910
20230907,1호선,동묘앞,8602,8758,20230910
20230907,경인선,동암,17247,17257,20230910
20230907,경인선,동인천,16279,15303,20230910
20230907,4호선,동작(현충원),1574,1669,20230910
20230907,9호선,동작(현충원),2051,1588,20230910
20230907,경부선,두정,9866,9995,20230910
20230907,5호선,둔촌동,9578,9472,20230910
20230907,9호선2~3단계,둔촌오륜,1305,1205,20230910
20230907,9호선,등촌,13294,12580,20230910
20230907,6호선,디지털미디어시티,16729,18588,20230910
20230907,경의선,디지털미디어시티,3146,2908,20230910
20230907,공항철도 1호선,디지털미디어시티,16822,15817,20230910
20230907,2호선,뚝섬,25512,27396,20230910
20230907,7호선,뚝섬유원지,10577,10149,20230910
20230907,5호선,마곡,13198,13480,20230910
20230907,9호선,마곡나루(서울식물원),14666,14557,20230910
20230907,공항철도 1호선,마곡나루(서울식물원),12649,11853,20230910
20230907,일산선,마두,8699,8918,20230910
20230907,7호선,마들,14701,13932,20230910
20230907,경춘선,마석,4434,4310,20230910
20230907,5호선,마장,6880,6380,20230910
20230907,5호선,마천,8639,7992,20230910
20230907,5호선,마포,16527,16969,20230910
20230907,6호선,마포구청,16287,14613,20230910
20230907,중앙선,망우,8849,8588,20230910
20230907,6호선,망원,15718,16935,20230910
20230907,경원선,망월사,11007,11265,20230910
20230907,분당선,망포,17285,16663,20230910
20230907,분당선,매교,5845,5794,20230910
20230907,3호선,매봉,14179,13861,20230910
20230907,분당선,매탄권선,6104,6026,20230910
20230907,7호선,먹골,11297,11110,20230910
20230907,7호선,면목,17660,16987,20230910
20230907,4호선,명동,34938,36815,20230910
20230907,5호선,명일,10366,10296,20230910
20230907,경부선,명학,11225,11140,20230910
20230907,8호선,모란,5096,3899,20230910
20230907,분당선,모란,21790,21951,20230910
20230907,5호선,목동,18789,19948,20230910
20230907,8호선,몽촌토성(평화의문),7160,7131,20230910
20230907,3호선,무악재,4967,4835,20230910
20230907,2호선,문래,25487,25875,20230910
20230907,경의선,문산,5842,5750,20230910
20230907,8호선,문정,24142,25464,20230910
20230907,분당선,미금,16486,17585,20230910
20230907,5호선,미사,19135,19602,20230910
20230907,4호선,미아(서울사이버대학),17575,17134,20230910
20230907,4호선,미아사거리,29133,28618,20230910
20230907,안산선,반월,4768,4628,20230910
20230907,7호선,반포,7140,6896,20230910
20230907,5호선,발산,23931,25063,20230910
20230907,2호선,방배,21943,22414,20230910
20230907,5호선,방이,8109,8498,20230910
20230907,경원선,방학,10855,10689,20230910
20230907,5호선,방화,7864,7497,20230910
20230907,장항선,배방,1320,1279,20230910
20230907,경의선,백마,8496,8280,20230910
20230907,일산선,백석,11172,11203,20230910
20230907,경춘선,백양리,115,100,20230910
20230907,경인선,백운,8173,8005,20230910
20230907,6호선,버티고개,2503,2473,20230910
20230907,과천선,범계,29487,29521,20230910
20230907,경춘선,별내,3704,3548,20230910
20230907,경부선,병점,18139,18376,20230910
20230907,7호선,보라매,7766,7964,20230910
20230907,신림선,보라매,4291,3963,20230910
20230907,신림선,보라매공원,2471,2689,20230910
20230907,신림선,보라매병원,8626,9006,20230910
20230907,6호선,보문,8959,8284,20230910
20230907,우이신설선,보문,1844,1786,20230910
20230907,경원선,보산,1551,1456,20230910
20230907,분당선,보정,3107,2750,20230910
20230907,8호선,복정,10969,9163,20230910
20230907,분당선,복정,1,0,20230910
20230907,장항선,봉명,1446,1450,20230910
20230907,9호선2~3단계,봉은사,24335,25458,20230910
20230907,2호선,봉천,26636,24795,20230910
20230907,6호선,봉화산(서울의료원),10244,9514,20230910
20230907,경인선,부개,9882,9195,20230910
20230907,경강선,부발,2539,2317,20230910
20230907,경인선,부천,34628,34334,20230910
20230907,서해선,부천종합운동장,2635,2021,20230910
20230907,경인선,부평,29657,31840,20230910
20230907,우이신설선,북한산보국문,7096,6943,20230910
20230907,우이신설선,북한산우이,3155,2848,20230910
20230907,6호선,불광,5071,4929,20230910
20230907,3호선,불광,18306,19738,20230910
20230907,7호선,사가정,17943,18236,20230910
20230907,4호선,사당,27271,25768,20230910
20230907,2호선,사당,45889,48045,20230910
20230907,경춘선,사릉,2730,2737,20230910
20230907,수인선,사리,5794,5103,20230910
20230907,9호선,사평,4557,4437,20230910
20230907,안산선,산본,17843,19189,20230910
20230907,8호선,산성,5844,6014,20230910
20230907,4호선,삼각지,6587,7316,20230910
20230907,6호선,삼각지,8512,7373,20230910
20230907,경강선,삼동,2957,2732,20230910
20230907,2호선,삼성(무역센터),63226,64446,20230910
20230907,9호선2~3단계,삼성중앙,9420,9841,20230910
20230907,일산선,삼송,21502,20681,20230910
20230907,우이신설선,삼양,2314,2438,20230910
20230907,우이신설선,삼양사거리,2962,2932,20230910
20230907,9호선2~3단계,삼전,8314,7760,20230910
20230907,분당선,상갈,6309,5983,20230910
20230907,4호선,상계,21766,20345,20230910
20230907,7호선,상도,14221,14144,20230910
20230907,안산선,상록수,17849,18116,20230910
